id,subfolder,target,chi_amod
air/Royal_Society_Corpus_open_v6.0_text_105219_1753.txt/7173,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105219_1753.txt/7173,1750,['air/N'],cold/A
air/Royal_Society_Corpus_open_v6.0_text_105145_1753.txt/1282,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105047_1751.txt/564,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105047_1751.txt/3035,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105102_1751.txt/278,1750,['air/N'],circumambient/A
air/Royal_Society_Corpus_open_v6.0_text_105102_1751.txt/433,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/1818,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/2058,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/2905,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/3404,1750,['air/N'],pure/A
air/Royal_Society_Corpus_open_v6.0_text_105207_1753.txt/1104,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105207_1753.txt/1445,1750,['air/N'],dry/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/101,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/166,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/360,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/622,1750,['air/N'],damp/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/638,1750,['air/N'],dry/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/686,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/744,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1273,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1279,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1467,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1651,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1657,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1814,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/1997,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/2184,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/2364,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/2552,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/2732,1750,['air/N'],open/A
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/2920,1750,['air/N'],open/A
