id,subfolder,target,pa_nmod
air/Royal_Society_Corpus_open_v6.0_text_105219_1753.txt/6620,1750,['air/N'],moisture/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/260,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/358,1750,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/381,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/456,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/592,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/630,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/710,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/1485,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105078_1751.txt/1383,1750,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105166_1753.txt/93,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105167_1753.txt/852,1750,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105102_1751.txt/185,1750,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/907,1750,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/952,1750,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/1519,1750,['air/N'],surface/N
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/4174,1750,['air/N'],place/N
air/Royal_Society_Corpus_open_v6.0_text_105207_1753.txt/1104,1750,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/101,1750,['air/N'],state/N
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/397,1750,['air/N'],change/N
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/886,1750,['air/N'],constitution/N
air/Royal_Society_Corpus_open_v6.0_text_105045_1751.txt/873,1750,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/1788,1750,['air/N'],resistance/N
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/1856,1750,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/1906,1750,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/1923,1750,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/2011,1750,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/2419,1750,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105193_1753.txt/3201,1750,['air/N'],temper/N
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/8764,1750,['air/N'],exposure/N
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/9031,1750,['air/N'],exposure/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/745,1750,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/1188,1750,['air/N'],surface/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/1812,1750,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/1870,1750,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/1913,1750,['air/N'],expansion/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/1964,1750,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/2821,1750,['air/N'],density/N
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/3564,1750,['air/N'],expansion/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/63,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/171,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/1835,1755,['air/N'],smell/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/2182,1755,['air/N'],property/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/2197,1755,['air/N'],quality/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/2269,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/2396,1755,['air/N'],shower/N
air/Royal_Society_Corpus_open_v6.0_text_104993_1755.txt/521,1755,['air/N'],action/N
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/612,1755,['air/N'],escape/N
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/732,1755,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/872,1755,['air/N'],property/N
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/3251,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/3344,1755,['air/N'],existence/N
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/3688,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/3718,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/3742,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105425_1759.txt/923,1755,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105425_1759.txt/2215,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_105425_1759.txt/3454,1755,['air/N'],resistance/N
air/Royal_Society_Corpus_open_v6.0_text_105270_1757.txt/868,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_105384_1759.txt/1724,1755,['air/N'],electricity/N
air/Royal_Society_Corpus_open_v6.0_text_105384_1759.txt/1746,1755,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/595,1755,['air/N'],nature/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/696,1755,['air/N'],kind/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/707,1755,['air/N'],kind/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/943,1755,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/1577,1755,['air/N'],property/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/1635,1755,['air/N'],effect/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/1918,1755,['air/N'],force/N
air/Royal_Society_Corpus_open_v6.0_text_104969_1755.txt/2108,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/993,1755,['air/N'],vapour/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1377,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1439,1755,['air/N'],density/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/1476,1755,['air/N'],density/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/2605,1755,['air/N'],rarefaction/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/2682,1755,['air/N'],that/P
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/3383,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/3465,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/3943,1755,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4265,1755,['air/N'],part/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4358,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4517,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4537,1755,['air/N'],place/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4611,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/4969,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/5726,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/5925,1755,['air/N'],region/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/6283,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/6551,1755,['air/N'],current/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7393,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7417,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7438,1755,['air/N'],weight/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7490,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7602,1755,['air/N'],column/N
air/Royal_Society_Corpus_open_v6.0_text_104918_1755.txt/7993,1755,['air/N'],circulation/N
air/Royal_Society_Corpus_open_v6.0_text_105416_1759.txt/244,1755,['air/N'],principle/N
air/Royal_Society_Corpus_open_v6.0_text_105416_1759.txt/1917,1755,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105242_1757.txt/1037,1755,['air/N'],proportion/N
air/Royal_Society_Corpus_open_v6.0_text_105242_1757.txt/6055,1755,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105242_1757.txt/6475,1755,['air/N'],bubble/N
air/Royal_Society_Corpus_open_v6.0_text_105382_1759.txt/8115,1755,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105382_1759.txt/8313,1755,['air/N'],temperature/N
air/Royal_Society_Corpus_open_v6.0_text_105382_1759.txt/15436,1755,['air/N'],pressure/N
air/Royal_Society_Corpus_open_v6.0_text_105369_1759.txt/1320,1755,['air/N'],heat/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/1003,1755,['air/N'],quantity/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/2826,1755,['air/N'],motion/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/7831,1755,['air/N'],effect/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/7851,1755,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8070,1755,['air/N'],particle/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8141,1755,['air/N'],experiment/N
air/Royal_Society_Corpus_open_v6.0_text_105381_1759.txt/8527,1755,['air/N'],effect/N
