id,subfolder,target,pa_obl
air/Royal_Society_Corpus_open_v6.0_text_105219_1753.txt/7173,1750,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/738,1750,['air/N'],observe/V
air/Royal_Society_Corpus_open_v6.0_text_105171_1753.txt/1398,1750,['air/N'],communicate/V
air/Royal_Society_Corpus_open_v6.0_text_105139_1753.txt/394,1750,['air/N'],hang/V
air/Royal_Society_Corpus_open_v6.0_text_105047_1751.txt/2474,1750,['air/N'],come/V
air/Royal_Society_Corpus_open_v6.0_text_105047_1751.txt/3035,1750,['air/N'],carry/V
air/Royal_Society_Corpus_open_v6.0_text_105166_1753.txt/763,1750,['air/N'],communicate/V
air/Royal_Society_Corpus_open_v6.0_text_105102_1751.txt/433,1750,['air/N'],fire/V
air/Royal_Society_Corpus_open_v6.0_text_105108_1751.txt/186,1750,['air/N'],rise/V
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/1420,1750,['air/N'],ascend/V
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/1482,1750,['air/N'],mix/V
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/1818,1750,['air/N'],carry/V
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/4086,1750,['air/N'],deprive/V
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/4230,1750,['air/N'],carry/V
air/Royal_Society_Corpus_open_v6.0_text_105023_1751.txt/4417,1750,['air/N'],confine/V
air/Royal_Society_Corpus_open_v6.0_text_105207_1753.txt/884,1750,['air/N'],make/V
air/Royal_Society_Corpus_open_v6.0_text_105207_1753.txt/1074,1750,['air/N'],continue/V
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/166,1750,['air/N'],place/V
air/Royal_Society_Corpus_open_v6.0_text_105016_1751.txt/360,1750,['air/N'],stand/V
air/Royal_Society_Corpus_open_v6.0_text_105045_1751.txt/942,1750,['air/N'],stand/V
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/122,1750,['air/N'],make/V
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/948,1750,['air/N'],let/V
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/3083,1750,['air/N'],have/V
air/Royal_Society_Corpus_open_v6.0_text_105074_1751.txt/4664,1750,['air/N'],come/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/866,1750,['air/N'],weigh/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/8019,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/8993,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/9868,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/10796,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/11261,1750,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/11856,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/12838,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/13125,1750,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/13414,1750,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/13795,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/15953,1750,['air/N'],change/V
air/Royal_Society_Corpus_open_v6.0_text_105200_1753.txt/16006,1750,['air/N'],tarnish/V
air/Royal_Society_Corpus_open_v6.0_text_105052_1751.txt/534,1750,['air/N'],keep/V
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/2453,1750,['air/N'],let/V
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/2508,1750,['air/N'],act/V
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/2935,1750,['air/N'],communicate/V
air/Royal_Society_Corpus_open_v6.0_text_105082_1751.txt/3507,1750,['air/N'],fill/V
air/Royal_Society_Corpus_open_v6.0_text_105104_1751.txt/3210,1750,['air/N'],hold/V
air/Royal_Society_Corpus_open_v6.0_text_105104_1751.txt/3279,1750,['air/N'],breathe/V
air/Royal_Society_Corpus_open_v6.0_text_104949_1755.txt/2346,1755,['air/N'],supply/V
air/Royal_Society_Corpus_open_v6.0_text_105399_1759.txt/4127,1755,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105399_1759.txt/5405,1755,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/1221,1755,['air/N'],have/V
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/1641,1755,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105255_1757.txt/3211,1755,['air/N'],mix/V
air/Royal_Society_Corpus_open_v6.0_text_104925_1755.txt/740,1755,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_104925_1755.txt/878,1755,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105410_1759.txt/448,1755,['air/N'],expose/V
air/Royal_Society_Corpus_open_v6.0_text_105384_1759.txt/1789,1755,['air/N'],extract/V
air/Royal_Society_Corpus_open_v6.0_text_105384_1759.txt/2199,1755,['air/N'],hang/V
air/Royal_Society_Corpus_open_v6.0_text_105358_1759.txt/865,1755,['air/N'],convert/V
