id,subfolder,target,pa_conj
air/Royal_Society_Corpus_open_v6.0_text_109646_1800.txt/593,1800,['air/N'],['gas/N']
air/Royal_Society_Corpus_open_v6.0_text_107062_1800.txt/16707,1800,['air/N'],['glasses/N']
air/Royal_Society_Corpus_open_v6.0_text_107062_1800.txt/16723,1800,['air/N'],['glass/N']
air/Royal_Society_Corpus_open_v6.0_text_109562_1800.txt/877,1800,['air/N'],['acid/N']
air/Royal_Society_Corpus_open_v6.0_text_107126_1802.txt/1542,1800,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_107053_1800.txt/2273,1800,['air/N'],['explosion/N']
air/Royal_Society_Corpus_open_v6.0_text_107124_1802.txt/721,1800,['air/N'],['prism/N']
air/Royal_Society_Corpus_open_v6.0_text_107073_1803.txt/4410,1800,['air/N'],['form/N']
air/Royal_Society_Corpus_open_v6.0_text_107069_1803.txt/509,1800,['air/N'],['vehement/A']
air/Royal_Society_Corpus_open_v6.0_text_107068_1803.txt/4243,1800,['air/N'],['acid/N']
air/Royal_Society_Corpus_open_v6.0_text_109544_1800.txt/561,1800,['air/N'],['light/N']
air/Royal_Society_Corpus_open_v6.0_text_107074_1803.txt/1565,1800,['air/N'],['heat/N']
air/Royal_Society_Corpus_open_v6.0_text_109654_1800.txt/870,1800,['air/N'],['acid/N']
air/Royal_Society_Corpus_open_v6.0_text_109569_1800.txt/497,1800,['air/N'],['seem/V']
air/Royal_Society_Corpus_open_v6.0_text_107066_1803.txt/1405,1800,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_107094_1801.txt/11982,1800,['air/N'],['water/N']
air/Royal_Society_Corpus_open_v6.0_text_107099_1801.txt/4898,1800,['air/N'],['sun/N']
air/Royal_Society_Corpus_open_v6.0_text_107076_1803.txt/698,1800,['air/N'],['seem/V']
air/Royal_Society_Corpus_open_v6.0_text_107114_1802.txt/5058,1800,['air/N'],['light/N']
air/Royal_Society_Corpus_open_v6.0_text_107055_1800.txt/5470,1800,['air/N'],['sea/N']
